,sounding_id,latitude,longitude,time,solar_zenith_angle,sensor_zenith_angle,xco2_quality_flag,xco2,xco2_uncertainty,xco2_apriori,pressure_levels,co2_profile_apriori,pressure_weight,dates
0,20160110000358,29.926554,-164.45444,1452384240.3165803,53.895752,21.543941,0,402.29086,4.111393,401.02414,"[1.01265877e-01 5.32978325e+01 1.06595665e+02 1.59893494e+02
 2.13191330e+02 2.66489166e+02 3.19786987e+02 3.73084808e+02
 4.26382660e+02 4.79680511e+02 5.32978333e+02 5.86276184e+02
 6.39573975e+02 6.92871765e+02 7.46169617e+02 7.99467468e+02
 8.52765320e+02 9.06063110e+02 9.59361023e+02 1.01265881e+03]","[390.6886  394.98212 396.84253 398.2394  399.678   398.70462 398.97375
 399.331   399.76416 400.2589  400.80106 401.37842 401.9817  402.64258
 403.49173 404.37106 405.2852  406.24014 407.24036 408.28528]","[0.02645253 0.05289741 0.05286362 0.05281939 0.05278692 0.05275984
 0.05273421 0.05270845 0.05267622 0.05264973 0.05263266 0.05261403
 0.0525971  0.05259682 0.0525916  0.0524786  0.05235855 0.05232519
 0.05230658 0.02615054]",2016-01-10 00:03:58
1,20160110000403,29.645868,-164.5267,1452384245.0421228,53.613846,21.560537,1,396.0722,2.6839626,401.0159,"[1.01167247e-01 5.32459221e+01 1.06491844e+02 1.59737762e+02
 2.12983688e+02 2.66229614e+02 3.19475525e+02 3.72721466e+02
 4.25967377e+02 4.79213318e+02 5.32459229e+02 5.85705139e+02
 6.38951050e+02 6.92197021e+02 7.45442932e+02 7.98688904e+02
 8.51934753e+02 9.05180664e+02 9.58426636e+02 1.01167255e+03]","[390.68863 394.98245 396.84302 398.2404  399.676   398.72296 398.99097
 399.34665 399.77783 400.27017 400.80945 401.38358 401.98337 402.64548
 403.48135 404.34686 405.24646 406.186   407.16983 408.19736]","[0.02644791 0.0528883  0.05285471 0.05281058 0.05277818 0.05275105
 0.05272673 0.05270276 0.05267351 0.0526525  0.05264103 0.05262046
 0.05259855 0.05259565 0.05258327 0.05248303 0.05237892 0.05234024
 0.05231719 0.02615544]",2016-01-10 00:04:03
2,20160110000454,26.575678,-165.29863,1452384295.629859,50.533203,21.55756,1,402.23123,3.811064,400.80466,"[1.01335615e-01 5.33345337e+01 1.06669067e+02 1.60003601e+02
 2.13338135e+02 2.66672699e+02 3.20007202e+02 3.73341736e+02
 4.26676270e+02 4.80010834e+02 5.33345398e+02 5.86679932e+02
 6.40014404e+02 6.93348999e+02 7.46683472e+02 8.00018005e+02
 8.53352539e+02 9.06687073e+02 9.60021667e+02 1.01335614e+03]","[390.6801  394.78757 396.56638 397.92178 399.2073  398.68146 399.06592
 399.39215 399.802   400.27887 400.80603 401.36926 401.9584  402.60867
 403.31088 404.03677 404.79025 405.57556 406.3955  407.24933]","[0.02645107 0.05289551 0.05286325 0.05281961 0.05278724 0.05276024
 0.05273527 0.05270914 0.05267834 0.05265982 0.05265551 0.05264099
 0.05262289 0.05261337 0.052602   0.05254188 0.05237375 0.05224685
 0.05223069 0.02611259]",2016-01-10 00:04:54
3,20160110000458,26.29655,-165.36761,1452384300.3560855,50.253265,21.556356,1,401.49918,3.6265147,400.79474,"[1.01363435e-01 5.33491783e+01 1.06698357e+02 1.60047531e+02
 2.13396713e+02 2.66745911e+02 3.20095062e+02 3.73444244e+02
 4.26793427e+02 4.80142639e+02 5.33491821e+02 5.86840942e+02
 6.40190125e+02 6.93539368e+02 7.46888489e+02 8.00237732e+02
 8.53586853e+02 9.06936096e+02 9.60285278e+02 1.01363446e+03]","[390.6801  394.7876  396.5664  397.9219  399.2057  398.7005  399.08264
 399.40704 399.8145  400.28845 400.81213 401.37152 401.95645 402.6005
 403.2914  404.00555 404.7467  405.51904 406.32526 407.16458]","[0.02644966 0.05289266 0.05286038 0.05281676 0.05278447 0.05275753
 0.05273155 0.05270608 0.05267696 0.05265584 0.05265123 0.0526401
 0.05262126 0.05261085 0.05260077 0.05256427 0.05239249 0.05224283
 0.05223124 0.0261131 ]",2016-01-10 00:04:58
4,20160110000503,26.017351,-165.43636,1452384304.8500464,49.973305,21.555256,0,400.42157,2.7371137,400.78458,"[1.01373605e-01 5.33545265e+01 1.06709053e+02 1.60063568e+02
 2.13418106e+02 2.66772644e+02 3.20127136e+02 3.73481659e+02
 4.26836212e+02 4.80190765e+02 5.33545288e+02 5.86899780e+02
 6.40254272e+02 6.93608887e+02 7.46963318e+02 8.00317932e+02
 8.53672424e+02 9.07026917e+02 9.60381531e+02 1.01373602e+03]","[390.6801  394.78766 396.56653 397.92218 399.2042  398.71954 399.09933
 399.4219  399.827   400.298   400.81824 401.37372 401.9544  402.59198
 403.27167 403.97415 404.7031  405.46255 406.2551  407.08005]","[0.02645141 0.05289624 0.0528641  0.05282055 0.05278835 0.05276141
 0.05273335 0.05270847 0.05268069 0.05265733 0.052653   0.05264425
 0.05262497 0.05261299 0.05260474 0.05257833 0.05239576 0.05222108
 0.05220363 0.02609935]",2016-01-10 00:05:03
5,20160110000508,25.738394,-165.50475,1452384309.5751867,49.693638,21.552303,1,402.43222,2.8513157,400.7741,"[1.01373680e-01 5.33545685e+01 1.06709137e+02 1.60063690e+02
 2.13418274e+02 2.66772858e+02 3.20127380e+02 3.73481995e+02
 4.26836548e+02 4.80191132e+02 5.33545715e+02 5.86900269e+02
 6.40254761e+02 6.93609375e+02 7.46963989e+02 8.00318604e+02
 8.53673096e+02 9.07027649e+02 9.60382263e+02 1.01373676e+03]","[390.6801  394.78772 396.5666  397.9224  399.20264 398.73846 399.1159
 399.43665 399.83932 400.3073  400.82407 401.37558 401.952   402.58276
 403.25134 403.94232 404.65918 405.40598 406.18512 406.99585]","[0.0264529  0.05289912 0.05286685 0.05282322 0.05279097 0.05276371
 0.05273654 0.05271094 0.05268178 0.0526598  0.05265567 0.05264722
 0.05262829 0.0526147  0.05260847 0.05258799 0.05239113 0.05220208
 0.05218741 0.02609121]",2016-01-10 00:05:08
6,20160110000521,24.899597,-165.70927,1452384323.2868404,48.852848,21.559824,0,399.51764,3.4884253,400.74188,"[1.01402745e-01 5.33698730e+01 1.06739746e+02 1.60109604e+02
 2.13479492e+02 2.66849335e+02 3.20219208e+02 3.73589081e+02
 4.26958984e+02 4.80328857e+02 5.33698669e+02 5.87068604e+02
 6.40438416e+02 6.93808350e+02 7.47178162e+02 8.00548096e+02
 8.53917969e+02 9.07287781e+02 9.60657715e+02 1.01402753e+03]","[390.6801  394.7877  396.56656 397.92273 399.1976  398.79483 399.16522
 399.4802  399.87527 400.33395 400.83975 401.37906 401.94226 402.55066
 403.18683 403.84402 404.5256  405.23523 405.9751  406.74445]","[0.02644807 0.05288921 0.05285664 0.05281302 0.05278077 0.05275322
 0.05272922 0.05270066 0.05267261 0.05265656 0.0526497  0.0526433
 0.05262781 0.0526101  0.05260277 0.05259186 0.05243051 0.05224337
 0.0522019  0.0260987 ]",2016-01-10 00:05:21
7,20160110000526,24.620579,-165.77678,1452384328.0134692,48.573277,21.555569,0,399.5297,2.9680545,400.70337,"[1.0142684e-01 5.3382549e+01 1.0676510e+02 1.6014763e+02 2.1353020e+02
 2.6691275e+02 3.2029526e+02 3.7367780e+02 4.2706039e+02 4.8044293e+02
 5.3382550e+02 5.8720801e+02 6.4059052e+02 6.9397308e+02 7.4735559e+02
 8.0073816e+02 8.5412079e+02 9.0750323e+02 9.6088586e+02 1.0142683e+03]","[390.67606 394.694   396.4338  397.7689  398.96677 399.19418 399.128
 399.43405 399.82776 400.29132 400.8064  401.3577  401.93454 402.53906
 403.16464 403.81085 404.48093 405.17844 405.90552 406.66138]","[0.02645101 0.05289535 0.05286319 0.05281976 0.05278764 0.05275998
 0.0527352  0.05270674 0.05267945 0.05266363 0.05265708 0.05265141
 0.05263689 0.05261774 0.0526092  0.05259874 0.0524193  0.05220849
 0.05216105 0.02607816]",2016-01-10 00:05:26
8,20160110000531,24.340635,-165.84442,1452384332.5069876,48.292774,21.560364,0,399.01443,3.1771317,400.69186,"[1.01347759e-01 5.33409309e+01 1.06681862e+02 1.60022781e+02
 2.13363724e+02 2.66704651e+02 3.20045563e+02 3.73386505e+02
 4.26727448e+02 4.80068390e+02 5.33409302e+02 5.86750244e+02
 6.40091125e+02 6.93432068e+02 7.46773010e+02 8.00113953e+02
 8.53454895e+02 9.06795776e+02 9.60136780e+02 1.01347766e+03]","[390.67606 394.694   396.43384 397.76892 398.9658  399.20413 399.14456
 399.44876 399.84    400.30038 400.81174 401.3588  401.9311  402.52682
 403.1419  403.77716 404.43588 405.1214  405.83582 406.57837]","[0.02644866 0.0528907  0.05285864 0.05281529 0.05278327 0.05275579
 0.05273085 0.05270355 0.05267847 0.05266332 0.05265609 0.05264981
 0.05263659 0.05261877 0.0526089  0.05259774 0.05242349 0.05221989
 0.05217505 0.02608513]",2016-01-10 00:05:31
9,20160110000535,24.061357,-165.91277,1452384337.232168,48.012695,21.561922,1,395.03317,3.0941236,400.6802,"[1.01374440e-01 5.33549728e+01 1.06709946e+02 1.60064911e+02
 2.13419891e+02 2.66774872e+02 3.20129822e+02 3.73484802e+02
 4.26839783e+02 4.80194763e+02 5.33549744e+02 5.86904724e+02
 6.40259644e+02 6.93614685e+02 7.46969604e+02 8.00324585e+02
 8.53679565e+02 9.07034485e+02 9.60389526e+02 1.01374451e+03]","[390.67606 394.694   396.43384 397.76895 398.96475 399.21417 399.16107
 399.46338 399.85202 400.3092  400.81677 401.3596  401.92728 402.51398
 403.1187  403.74326 404.39075 405.06442 405.76642 406.49582]","[0.02644374 0.05288073 0.05284846 0.05280503 0.05277302 0.05274581
 0.05272131 0.05269555 0.05267269 0.05265823 0.05264983 0.05264215
 0.05263011 0.0526152  0.05260432 0.05259112 0.05243822 0.05225931
 0.0522183  0.02610687]",2016-01-10 00:05:35
