,latitude,longitude,time,sensor_zenith_angle,xco2,xco2_uncertainty,xco2_apriori
0,-79.45806,160.33319,1452038509.515801,25.899086,398.58325,2.8214378,399.097
1,-79.451096,160.3668,1452038514.0093997,25.044334,402.81015,2.7242072,399.10284
2,-77.860565,150.6538,1452038518.7349825,4.1133513,419.26065,3.295257,398.74496
3,-77.85161,150.69257,1452038527.9540837,1.7439015,403.13382,2.440799,398.74512
4,-76.15424,142.66762,1452038537.1727824,24.454172,410.56546,2.7051775,398.71606
5,-77.64909,133.44003,1452038550.8858845,25.86005,406.5457,3.4419448,398.74173
6,-77.64858,133.45714,1452038555.6111052,24.959421,404.90884,3.4030194,398.74182
7,-79.60094,141.20778,1452038564.830166,1.1799036,410.65543,3.5909727,398.8492
8,-83.1731,136.99472,1452038587.7620072,26.946321,409.29367,3.4120817,398.6984
9,-80.98202,128.49033,1452038601.7062888,4.085283,405.3369,4.49473,398.82724
10,-80.97957,128.52725,1452038606.1997666,1.1621076,413.77078,4.253852,398.82748
11,-78.75914,122.27655,1452038620.1440482,24.451797,407.68045,3.5893571,398.7525
12,-78.756386,122.29618,1452038624.6380897,25.187098,409.1858,2.897394,398.75256
13,-79.38468,109.10624,1452038629.364276,26.942577,411.14536,3.2105057,398.69183
14,-79.38661,109.11598,1452038633.8573112,25.847778,404.83646,3.2348752,398.69186
15,-79.38787,109.13282,1452038638.5823712,24.949915,410.9883,3.1575177,398.69193
16,-81.80678,112.38906,1452038643.0759296,4.070919,405.05353,4.312529,398.71786
17,-81.806465,112.428696,1452038647.8014722,1.1556569,403.69128,4.3125515,398.71802
18,-84.23219,116.77861,1452038666.2403584,25.60152,401.3906,3.0450587,398.68002
19,-84.3441,90.48159,1452038670.7333937,26.924864,406.50183,3.7876778,398.5727
20,-84.34768,90.5509,1452038675.4584937,25.87911,411.03668,3.7889366,398.57288
21,-84.35128,90.650795,1452038679.9519718,25.031271,409.62674,3.6524034,398.57312
22,-81.908936,94.41699,1452038684.6785605,4.0636625,411.08774,3.7182546,398.64417
23,-81.91008,94.45653,1452038689.1711936,1.1484654,408.19647,3.6363568,398.6443
24,-81.91109,94.509346,1452038693.8967764,1.7985852,408.61417,3.5176327,398.64438
25,-79.43943,95.284065,1452038698.3902946,23.977682,407.71246,2.5562003,398.67877
26,-79.43954,95.31495,1452038703.1164408,24.45261,411.45493,2.4909208,398.67883
27,-79.43864,95.324646,1452038707.609436,25.182245,403.39496,2.340496,398.67886
28,-78.900566,81.9387,1452038721.5536773,24.937244,368.9799,2.0266376,398.59863
29,-81.807175,53.087048,1452038753.7047,26.918322,408.41565,3.5243466,398.4235
30,-81.81553,53.11807,1452038758.4307656,25.86921,398.9951,3.3572905,398.42346
31,-81.82481,53.160824,1452038762.923801,25.023926,405.25607,3.6162403,398.42343
32,-76.419106,60.862617,1452038795.306888,26.909838,401.61676,4.1909304,398.79156
33,-78.34905,53.711376,1452038809.018582,4.017121,404.25052,3.829357,398.62628
34,-78.35506,53.732414,1452038813.744165,1.0842897,400.1452,3.83937,398.62634
35,-78.35982,53.75202,1452038818.2376833,1.8531913,402.61603,3.8252242,398.62646
36,-79.886856,43.34188,1452038822.964312,24.324072,404.92636,3.2841039,398.48364
37,-79.8946,43.3743,1452038827.4578705,24.85556,405.90866,3.1072226,398.48337
38,-79.90378,43.415108,1452038832.1829705,25.646105,408.68808,3.0704396,398.483
39,-77.67283,36.540028,1452038836.676006,26.8962,403.74683,3.8322136,398.63617
40,-77.67999,36.543945,1452038841.402152,25.858673,414.4781,4.3284893,398.6363
41,-77.6897,36.55658,1452038845.895107,25.019888,403.84412,4.013343,398.6364
42,-76.42484,46.100834,1452038850.6212533,4.016128,394.53912,5.081287,398.6675
43,-76.43763,46.134945,1452038859.8403945,1.8734877,396.49692,5.0224032,398.66757
44,-74.7211,53.293587,1452038864.3329473,23.966995,390.6946,4.4346514,398.7945
45,-74.722984,53.302254,1452038869.059053,24.44551,393.46637,3.8925824,398.7946
46,-74.72566,53.315853,1452038873.5520885,25.188364,394.7146,4.8880486,398.7947
47,-72.79324,47.239697,1452038878.2782748,26.890308,399.00497,7.346356,398.95328
48,-72.79606,47.236107,1452038882.7712297,25.79844,418.9523,7.6579337,398.95322
49,-72.79861,47.233505,1452038887.497376,24.907938,398.95496,6.874714,398.95316
50,-74.33911,40.384666,1452038891.9909744,3.9586074,401.16525,6.020611,398.89294
51,-74.34451,40.391052,1452038896.716477,1.0411849,406.9583,6.1700344,398.89276
52,-74.349266,40.399563,1452038901.2100756,1.8914385,403.5803,5.9548993,398.8926
53,-75.456825,31.866074,1452038905.9356585,24.335537,401.8481,3.9653652,398.7651
54,-75.46718,31.885054,1452038910.4291768,24.876692,401.59805,4.013033,398.76474
55,-75.477165,31.905285,1452038915.155363,25.67293,405.23,3.855435,398.76434
56,25.1838,177.9849,1452042644.0216794,21.57272,398.52072,2.1499443,401.16937
