,sounding_id,latitude,longitude,time,solar_zenith_angle,sensor_zenith_angle,xco2_quality_flag,xco2,xco2_uncertainty,xco2_apriori,pressure_levels,co2_profile_apriori,pressure_weight,dates
0,20160109000212,-76.15605,142.65808,1452297734.0052679,57.29167,23.986324,1,403.19998,1.5488786,398.73175,"[7.0184208e-02 3.6939056e+01 7.3878113e+01 1.1081717e+02 1.4775623e+02
 1.8469528e+02 2.2163434e+02 2.5857339e+02 2.9551245e+02 3.3245151e+02
 3.6939056e+02 4.0632959e+02 4.4326868e+02 4.8020773e+02 5.1714679e+02
 5.5408588e+02 5.9102490e+02 6.2796393e+02 6.6490302e+02 7.0184210e+02]","[390.6296  393.74283 395.09116 396.12576 396.99796 397.76645 398.4613
 399.09656 399.69693 400.2177  400.24832 400.27783 400.30634 400.3339
 400.36066 400.3867  400.4122  400.43726 400.4619  400.48633]","[0.02641966 0.05282695 0.05278575 0.05273828 0.0527059  0.05268119
 0.05266123 0.05264453 0.05262997 0.05261642 0.05260372 0.05259237
 0.05257999 0.05256763 0.05255764 0.05254827 0.05253814 0.05252663
 0.05251799 0.02625773]",2016-01-09 00:02:12
1,20160109000316,-80.85234,130.06891,1452297798.538372,62.216564,4.098985,1,415.95764,3.7916389,398.59964,"[6.8699643e-02 3.6157711e+01 7.2315422e+01 1.0847312e+02 1.4463084e+02
 1.8078854e+02 2.1694624e+02 2.5310396e+02 2.8926169e+02 3.2541937e+02
 3.6157709e+02 3.9773480e+02 4.3389249e+02 4.7005023e+02 5.0620792e+02
 5.4236566e+02 5.7852338e+02 6.1468103e+02 6.5083875e+02 6.8699646e+02]","[390.62445 393.62463 394.92395 395.921   396.7615  397.50208 398.17154
 398.78717 399.36017 399.89865 400.1936  400.22742 400.2612  400.29498
 400.32877 400.36258 400.39633 400.43008 400.46384 400.4976 ]","[0.02641975 0.05282688 0.05278527 0.05273768 0.0527054  0.05268087
 0.05266102 0.0526443  0.05262982 0.05261688 0.05260481 0.05259326
 0.0525808  0.05256785 0.0525561  0.05254503 0.05253572 0.05252821
 0.05252131 0.02625904]",2016-01-09 00:03:16
2,20160109000321,-80.9644,128.70383,1452297803.0318902,62.45497,3.7044468,1,409.5022,3.7685657,398.5402,"[6.82015643e-02 3.58955612e+01 7.17911224e+01 1.07686676e+02
 1.43582245e+02 1.79477814e+02 2.15373352e+02 2.51268921e+02
 2.87164490e+02 3.23060059e+02 3.58955627e+02 3.94851166e+02
 4.30746704e+02 4.66642303e+02 5.02537842e+02 5.38433411e+02
 5.74328979e+02 6.10224487e+02 6.46120117e+02 6.82015686e+02]","[390.6221  393.57065 394.84766 395.8275  396.65356 397.38135 398.03934
 398.64438 399.2076  399.73645 400.18152 400.216   400.25052 400.28503
 400.31955 400.3541  400.38864 400.4232  400.45773 400.4923 ]","[0.02641948 0.0528263  0.05278464 0.05273703 0.05270475 0.05268023
 0.05266038 0.05264367 0.05262921 0.05261635 0.05260437 0.0525931
 0.05258158 0.05256904 0.05255705 0.0525458  0.05253637 0.05252887
 0.05252216 0.02625961]",2016-01-09 00:03:21
3,20160109000326,-80.96204,128.74013,1452297807.757473,62.446457,0.78298795,1,403.9068,3.5844064,398.54037,"[6.8297260e-02 3.5945927e+01 7.1891853e+01 1.0783778e+02 1.4378371e+02
 1.7972964e+02 2.1567557e+02 2.5162148e+02 2.8756741e+02 3.2351337e+02
 3.5945929e+02 3.9540518e+02 4.3135114e+02 4.6729706e+02 5.0324295e+02
 5.3918890e+02 5.7513483e+02 6.1108075e+02 6.4702673e+02 6.8297266e+02]","[390.62213 393.5708  394.84787 395.82776 396.65387 397.38168 398.03967
 398.64478 399.208   399.73688 400.18158 400.21606 400.25058 400.2851
 400.31964 400.3542  400.38873 400.42328 400.45786 400.4924 ]","[0.02641945 0.05282621 0.05278452 0.05273689 0.0527046  0.05268007
 0.05266021 0.0526435  0.05262905 0.05261618 0.05260421 0.05259295
 0.05258146 0.05256901 0.05255715 0.05254603 0.05253675 0.05252932
 0.05252261 0.02625985]",2016-01-09 00:03:26
4,20160109000330,-80.95983,128.76756,1452297812.250991,62.43918,2.138273,1,413.47446,3.6289845,398.5405,"[6.82868436e-02 3.59404488e+01 7.18808975e+01 1.07821335e+02
 1.43761795e+02 1.79702240e+02 2.15642670e+02 2.51583115e+02
 2.87523590e+02 3.23464050e+02 3.59404480e+02 3.95344910e+02
 4.31285339e+02 4.67225800e+02 5.03166229e+02 5.39106689e+02
 5.75047180e+02 6.10987610e+02 6.46928101e+02 6.82868530e+02]","[390.62213 393.5709  394.84796 395.8279  396.65405 397.38187 398.0399
 398.645   399.20825 399.73715 400.1816  400.2161  400.2506  400.28516
 400.31967 400.35422 400.3888  400.42334 400.45792 400.49246]","[0.02641968 0.05282666 0.05278495 0.05273733 0.05270502 0.05268048
 0.05266062 0.05264389 0.05262941 0.05261653 0.0526045  0.05259317
 0.05258153 0.0525688  0.05255669 0.05254533 0.05253591 0.05252842
 0.05252169 0.02625939]",2016-01-09 00:03:30
5,20160109000335,-78.747,122.44166,1452297816.976534,62.26052,24.02582,1,407.61694,3.2582443,398.61707,"[6.6172689e-02 3.4827732e+01 6.9655464e+01 1.0448319e+02 1.3931093e+02
 1.7413867e+02 2.0896638e+02 2.4379413e+02 2.7862186e+02 3.1344962e+02
 3.4827734e+02 3.8310507e+02 4.1793277e+02 4.5276053e+02 4.8758826e+02
 5.2241602e+02 5.5724371e+02 5.9207141e+02 6.2689923e+02 6.6172693e+02]","[390.6252  393.64194 394.94843 395.951   396.7961  397.54068 398.2142
 398.83218 399.407   399.9622  400.21048 400.24088 400.27087 400.3005
 400.32977 400.35873 400.38742 400.4159  400.4442  400.47235]","[0.02641865 0.05282461 0.052783   0.05273546 0.05270313 0.05267859
 0.05265878 0.05264213 0.05262769 0.05261462 0.05260225 0.05259032
 0.05257908 0.05256852 0.05255842 0.05254955 0.05254307 0.0525346
 0.05252593 0.02626161]",2016-01-09 00:03:35
6,20160109000349,-79.383606,109.11115,1452297830.6892738,64.83536,26.939516,1,414.17474,3.958021,398.55475,"[6.3287452e-02 3.3309185e+01 6.6618370e+01 9.9927559e+01 1.3323674e+02
 1.6654593e+02 1.9985512e+02 2.3316429e+02 2.6647348e+02 2.9978268e+02
 3.3309186e+02 3.6640103e+02 3.9971024e+02 4.3301944e+02 4.6632858e+02
 4.9963779e+02 5.3294696e+02 5.6625616e+02 5.9956537e+02 6.3287451e+02]","[390.623   393.59097 394.87637 395.86273 396.69424 397.4268  398.0893
 398.69785 399.2637  399.8007  400.1957  400.22452 400.2531  400.2814
 400.30948 400.33737 400.36508 400.39264 400.42007 400.44742]","[0.02641859 0.05282455 0.05278303 0.05273551 0.05270321 0.0526787
 0.05265893 0.0526423  0.05262796 0.0526148  0.05260246 0.05259089
 0.05257963 0.05256852 0.05255763 0.05254984 0.05254316 0.05253353
 0.0525254  0.02626135]",2016-01-09 00:03:49
7,20160109000353,-79.38567,109.11298,1452297835.4144945,64.8321,25.850893,1,415.12314,3.7338567,398.55475,"[6.3197091e-02 3.3261627e+01 6.6523254e+01 9.9784882e+01 1.3304651e+02
 1.6630814e+02 1.9956976e+02 2.3283138e+02 2.6609302e+02 2.9935464e+02
 3.3261627e+02 3.6587787e+02 3.9913953e+02 4.3240115e+02 4.6566275e+02
 4.9892441e+02 5.3218604e+02 5.6544763e+02 5.9870929e+02 6.3197095e+02]","[390.623   393.591   394.8764  395.86273 396.69427 397.42682 398.08932
 398.6979  399.26373 399.80075 400.1957  400.22452 400.25308 400.2814
 400.30948 400.33737 400.36508 400.39264 400.42007 400.44742]","[0.02641824 0.05282379 0.05278217 0.0527346  0.05270226 0.05267773
 0.05265795 0.05264134 0.05262703 0.05261404 0.05260196 0.05259069
 0.05257984 0.05256923 0.05255891 0.05255108 0.05254428 0.05253524
 0.05252735 0.02626226]",2016-01-09 00:03:53
8,20160109000358,-79.386925,109.13204,1452297839.9084554,64.82557,24.950829,1,413.71558,3.6553686,398.5548,"[6.3265525e-02 3.3297642e+01 6.6595284e+01 9.9892929e+01 1.3319057e+02
 1.6648822e+02 1.9978586e+02 2.3308350e+02 2.6638113e+02 2.9967880e+02
 3.3297644e+02 3.6627408e+02 3.9957172e+02 4.3286935e+02 4.6616699e+02
 4.9946469e+02 5.3276227e+02 5.6605994e+02 5.9935760e+02 6.3265521e+02]","[390.623   393.59103 394.87646 395.86282 396.69434 397.4269  398.08945
 398.69803 399.26382 399.80087 400.1957  400.22452 400.25308 400.2814
 400.3095  400.3374  400.3651  400.39267 400.4201  400.44742]","[0.02641924 0.05282578 0.05278418 0.05273663 0.0527043  0.05267976
 0.05265995 0.05264328 0.05262887 0.05261554 0.05260291 0.05259101
 0.05257934 0.05256771 0.05255623 0.05254839 0.05254185 0.05253163
 0.05252314 0.02626027]",2016-01-09 00:03:58
9,20160109000403,-81.80606,112.37921,1452297844.6335554,64.98567,4.086185,1,402.83133,3.7800548,398.6349,"[6.4732634e-02 3.4069809e+01 6.8139618e+01 1.0220942e+02 1.3627924e+02
 1.7034906e+02 2.0441884e+02 2.3848866e+02 2.7255847e+02 3.0662830e+02
 3.4069812e+02 3.7476788e+02 4.0883768e+02 4.4290753e+02 4.7697733e+02
 5.1104715e+02 5.4511694e+02 5.7918677e+02 6.1325659e+02 6.4732642e+02]","[390.62628 393.66647 394.98312 395.99347 396.8452  397.5956  398.2739
 398.89822 399.47934 400.0182  400.19302 400.2233  400.25372 400.28424
 400.3149  400.34567 400.37656 400.4075  400.43854 400.46957]","[0.02641886 0.05282502 0.05278328 0.05273563 0.05270335 0.05267889
 0.05265912 0.0526425  0.05262804 0.05261499 0.05260312 0.05259211
 0.05258157 0.05257138 0.0525604  0.05254874 0.05253888 0.05253011
 0.05252337 0.02626065]",2016-01-09 00:04:03
