,latitude,longitude,time,sensor_zenith_angle,xco2,xco2_uncertainty,xco2_apriori
0,48.78546,-166.78622,1451953888.2003398,21.70653,411.71954,6.922995,400.31604
1,48.50876,-166.89429,1451953892.6946223,21.716396,414.4656,6.7341113,400.3306
2,47.40728,-167.315,1451953911.1322613,21.699972,408.89355,6.588242,400.44443
3,40.218884,-169.75922,1451954030.9786842,21.625933,389.71915,3.4787254,400.83615
4,39.942013,-169.84485,1451954035.7041864,21.619883,403.0253,4.368115,400.84082
5,39.66473,-169.92818,1451954040.1977851,21.612776,403.335,4.8872933,400.84512
6,39.386303,-170.01323,1451954044.923368,21.620481,395.2794,4.612857,400.91354
7,38.55542,-170.26398,1451954058.6360679,21.598648,402.00314,4.5881433,400.97952
8,30.207825,-172.57913,1451954196.9206526,21.565475,399.8732,3.5545833,400.94034
9,29.927599,-172.65149,1451954201.6468792,21.577585,399.90656,3.542441,400.93134
10,29.370968,-172.79445,1451954210.8649745,21.56602,401.10873,3.5423698,400.9194
11,29.091307,-172.866,1451954215.3585732,21.572378,397.36282,4.649892,400.91263
12,26.300001,-173.56502,1451954261.4527912,21.571344,399.53943,4.063595,400.85373
13,26.020018,-173.6339,1451954266.1788568,21.577843,397.25037,4.103773,401.17816
14,18.18881,-175.48749,1451954395.2444613,21.615082,398.78036,1.9323674,400.85907
15,17.909887,-175.55147,1451954399.737376,21.6075,398.9983,2.2378893,400.847
16,-11.328238,177.89055,1451954893.0693612,15.403017,397.86902,1.0365489,399.804
17,-11.584739,177.8336,1451954897.562276,15.185855,398.67,1.0517144,399.79874
18,-11.839516,177.77681,1451954902.2874565,14.9540415,399.29324,1.0718045,399.80457
19,-12.861097,177.54794,1451954920.7256584,14.055125,398.68265,1.1990327,399.7851
20,-13.373336,177.4328,1451954929.94484,13.622067,398.32678,1.2327108,399.7759
21,-13.626909,177.37564,1451954934.4383583,13.383111,398.39368,1.197923,399.7715
22,-13.882702,177.31775,1451954939.1645849,13.166319,399.27148,1.1669967,399.76718
23,-14.136858,177.26025,1451954943.6575398,12.935,398.979,1.2122982,399.76297
24,-14.648229,177.14417,1451954952.876681,12.503799,399.2457,1.2033316,399.75485
25,-14.905052,177.08571,1451954957.6017811,12.300556,398.57724,1.1990387,399.75085
26,-15.160026,177.0275,1451954962.0953798,12.08159,400.6253,1.442919,399.74704
27,-39.62915,175.2256,1451955363.2372797,28.090439,401.61432,0.9722295,399.18103
28,-41.30605,173.49562,1451955386.1680746,21.425642,396.8429,1.1364816,399.1982
29,-41.97295,172.8179,1451955395.3871756,19.577135,391.3608,1.1685506,399.1644
30,-42.97538,171.80042,1451955409.3324633,18.141973,400.55835,1.2872654,399.24036
31,-43.643898,171.11575,1451955418.5505583,18.204748,398.92093,1.3590703,399.24918
32,-43.981537,170.76883,1451955423.0441973,18.568892,392.7132,0.6541421,399.28412
33,-44.31994,170.41876,1451955427.7697399,19.126215,398.9489,1.1246566,399.28583
34,-44.999252,169.70673,1451955436.988881,20.740665,398.5452,0.80281276,399.26614
