,sounding_id,latitude,longitude,time,solar_zenith_angle,sensor_zenith_angle,xco2_quality_flag,xco2,xco2_uncertainty,xco2_apriori,pressure_levels,co2_profile_apriori,pressure_weight,dates
0,20160103000100,-74.41187,149.92033,1451779261.9673967,54.04194,26.973312,1,414.43265,3.027307,398.7797,"[7.1605168e-02 3.7686932e+01 7.5373863e+01 1.1306080e+02 1.5074773e+02
 1.8843466e+02 2.2612160e+02 2.6380853e+02 3.0149545e+02 3.3918240e+02
 3.7686932e+02 4.1455624e+02 4.5224319e+02 4.8993015e+02 5.2761707e+02
 5.6530402e+02 6.0299091e+02 6.4067786e+02 6.7836481e+02 7.1605170e+02]","[390.60168 393.78714 395.16675 396.22534 397.1177  397.90433 398.61404
 399.26166 399.90582 400.2194  400.2496  400.2781  400.30496 400.33032
 400.35437 400.37726 400.39923 400.4204  400.44098 400.46106]","[0.02641983 0.05282715 0.05278545 0.05273764 0.05270537 0.05268088
 0.05266103 0.05264431 0.05262963 0.0526163  0.05260335 0.05259015
 0.05257819 0.05256854 0.05255956 0.05255052 0.05254098 0.05252928
 0.05251661 0.02625524]",2016-01-03 00:01:00
1,20160103000214,-76.15395,142.67378,1451779335.7196019,56.503033,24.454754,1,387.44876,1.7146162,398.80612,"[7.0498489e-02 3.7104469e+01 7.4208939e+01 1.1131341e+02 1.4841788e+02
 1.8552235e+02 2.2262682e+02 2.5973129e+02 2.9683575e+02 3.3394022e+02
 3.7104471e+02 4.0814917e+02 4.4525363e+02 4.8235812e+02 5.1946259e+02
 5.5656708e+02 5.9367151e+02 6.3077594e+02 6.6788043e+02 7.0498492e+02]","[390.60324 393.82285 395.21725 396.2872  397.18915 397.98428 398.70126
 399.35773 400.01025 400.20792 400.23727 400.2656  400.29285 400.31915
 400.3446  400.36935 400.39343 400.41702 400.4402  400.463  ]","[0.02641967 0.05282674 0.05278485 0.05273684 0.05270443 0.05267992
 0.05266013 0.05264349 0.05262865 0.05261498 0.05260285 0.05259039
 0.05257912 0.05257093 0.05256082 0.05254847 0.05253834 0.05253031
 0.05252114 0.02625791]",2016-01-03 00:02:14
2,20160103000227,-77.6495,133.44223,1451779349.4312956,59.039772,25.861544,1,408.12427,3.4071782,398.88242,"[6.93445504e-02 3.64971313e+01 7.29942627e+01 1.09491394e+02
 1.45988525e+02 1.82485657e+02 2.18982788e+02 2.55479919e+02
 2.91977051e+02 3.28474213e+02 3.64971313e+02 4.01468475e+02
 4.37965576e+02 4.74462738e+02 5.10959839e+02 5.47457031e+02
 5.83954102e+02 6.20451233e+02 6.56948425e+02 6.93445557e+02]","[390.60745 393.91962 395.35406 396.45477 397.38266 398.2007  398.93765
 399.61792 400.17792 400.2065  400.23447 400.26178 400.2885  400.31473
 400.34042 400.36572 400.39062 400.41522 400.43958 400.46375]","[0.02642027 0.05282788 0.05278592 0.0527379  0.05270549 0.05268101
 0.05266124 0.05264437 0.05262921 0.05261527 0.0526027  0.05259036
 0.05257809 0.05256614 0.05255427 0.05254489 0.05253992 0.05253512
 0.05252289 0.02625708]",2016-01-03 00:02:27
3,20160103000232,-77.64939,133.45648,1451779354.1573615,59.0341,24.962067,1,404.02103,3.0090225,398.8825,"[6.94398582e-02 3.65472946e+01 7.30945892e+01 1.09641884e+02
 1.46189178e+02 1.82736481e+02 2.19283768e+02 2.55831055e+02
 2.92378357e+02 3.28925659e+02 3.65472961e+02 4.02020233e+02
 4.38567535e+02 4.75114838e+02 5.11662109e+02 5.48209412e+02
 5.84756714e+02 6.21304016e+02 6.57851318e+02 6.94398560e+02]","[390.60745 393.91974 395.35422 396.45496 397.38287 398.20096 398.93793
 399.6182  400.17795 400.20654 400.23447 400.2618  400.28854 400.31476
 400.34045 400.36572 400.39066 400.41528 400.43964 400.46378]","[0.02641988 0.05282715 0.05278525 0.05273725 0.05270488 0.05268042
 0.05266067 0.05264385 0.05262879 0.05261498 0.05260252 0.05259034
 0.05257829 0.05256658 0.05255502 0.05254584 0.05254071 0.05253559
 0.05252399 0.02625799]",2016-01-03 00:02:32
4,20160103000237,-79.6042,141.18369,1451779358.6503565,59.241005,4.101133,1,410.62518,3.6523545,398.8896,"[7.2570279e-02 3.8194885e+01 7.6389771e+01 1.1458465e+02 1.5277954e+02
 1.9097443e+02 2.2916930e+02 2.6736420e+02 3.0555908e+02 3.4375397e+02
 3.8194885e+02 4.2014371e+02 4.5833859e+02 4.9653351e+02 5.3472839e+02
 5.7292328e+02 6.1111816e+02 6.4931305e+02 6.8750793e+02 7.2570282e+02]","[390.60767 393.92432 395.36072 396.46292 397.3921  398.2109  398.95016
 399.63113 400.1628  400.19443 400.22577 400.25684 400.28766 400.3182
 400.34857 400.37875 400.40878 400.4387  400.46854 400.4983 ]","[0.02642007 0.05282745 0.05278551 0.0527375  0.05270503 0.05268046
 0.05266057 0.05264382 0.05262914 0.05261572 0.05260288 0.05259066
 0.0525795  0.05256874 0.05255802 0.05254816 0.05253986 0.05253129
 0.05251941 0.0262562 ]",2016-01-03 00:02:37
5,20160103000241,-79.60034,141.21538,1451779363.376583,59.23195,1.1705225,1,405.83426,3.6076148,398.88962,"[7.2580159e-02 3.8200089e+01 7.6400177e+01 1.1460025e+02 1.5280035e+02
 1.9100044e+02 2.2920050e+02 2.6740060e+02 3.0560071e+02 3.4380078e+02
 3.8200089e+02 4.2020093e+02 4.5840100e+02 4.9660114e+02 5.3480121e+02
 5.7300134e+02 6.1120142e+02 6.4940149e+02 6.8760156e+02 7.2580164e+02]","[390.60767 393.92435 395.36078 396.46298 397.39218 398.211   398.9503
 399.63126 400.16284 400.1945  400.2258  400.2569  400.2877  400.31824
 400.3486  400.37878 400.4088  400.43872 400.46854 400.4983 ]","[0.02641954 0.05282641 0.0527845  0.05273651 0.05270407 0.05267951
 0.05265966 0.05264297 0.05262839 0.05261511 0.05260252 0.05259062
 0.0525797  0.05256921 0.05255881 0.0525492  0.05254103 0.05253278
 0.05252178 0.02625769]",2016-01-03 00:02:41
6,20160103000246,-79.59777,141.23227,1451779367.8694577,59.225655,1.7412611,1,417.15277,3.6299589,398.88965,"[7.2600439e-02 3.8210758e+01 7.6421516e+01 1.1463227e+02 1.5284303e+02
 1.9105380e+02 2.2926454e+02 2.6747531e+02 3.0568607e+02 3.4389682e+02
 3.8210760e+02 4.2031836e+02 4.5852908e+02 4.9673987e+02 5.3495062e+02
 5.7316138e+02 6.1137213e+02 6.4958289e+02 6.8779364e+02 7.2600433e+02]","[390.60767 393.92435 395.36078 396.463   397.39218 398.21103 398.9503
 399.6313  400.16287 400.1945  400.22583 400.2569  400.28772 400.31827
 400.34863 400.37878 400.4088  400.43872 400.46854 400.4983 ]","[0.02641974 0.05282684 0.05278498 0.05273701 0.05270458 0.05268003
 0.05266017 0.05264346 0.05262884 0.05261549 0.05260278 0.05259073
 0.05257967 0.05256901 0.05255838 0.05254854 0.05254032 0.05253197
 0.05252054 0.0262569 ]",2016-01-03 00:02:46
7,20160103000318,-80.9819,128.49672,1451779400.2526655,61.72838,4.080821,1,420.32617,4.31764,398.72018,"[6.8438582e-02 3.6020309e+01 7.2040619e+01 1.0806093e+02 1.4408124e+02
 1.8010156e+02 2.1612186e+02 2.5214217e+02 2.8816248e+02 3.2418280e+02
 3.6020312e+02 3.9622339e+02 4.3224371e+02 4.6826404e+02 5.0428433e+02
 5.4030469e+02 5.7632495e+02 6.1234528e+02 6.4836560e+02 6.8438593e+02]","[390.59982 393.7444  395.10623 396.15128 397.03226 397.80838 398.5101
 399.15543 399.7559  400.15573 400.1869  400.21808 400.24924 400.28043
 400.31165 400.34286 400.37405 400.4053  400.43655 400.4678 ]","[0.0264201  0.05282762 0.05278576 0.05273771 0.05270521 0.05268062
 0.05266071 0.05264401 0.05262892 0.05261497 0.05260304 0.0525922
 0.05258075 0.05256958 0.0525592  0.05254954 0.05253999 0.05252904
 0.05251632 0.02625472]",2016-01-03 00:03:18
8,20160103000323,-80.98043,128.52176,1451779404.7455802,61.721848,1.1791421,1,412.56668,4.134932,398.72037,"[6.8422414e-02 3.6011795e+01 7.2023590e+01 1.0803538e+02 1.4404718e+02
 1.8005898e+02 2.1607076e+02 2.5208255e+02 2.8809436e+02 3.2410617e+02
 3.6011795e+02 3.9612976e+02 4.3214151e+02 4.6815335e+02 5.0416510e+02
 5.4017694e+02 5.7618872e+02 6.1220050e+02 6.4821234e+02 6.8422412e+02]","[390.59982 393.74454 395.10648 396.1515  397.03253 397.80875 398.51047
 399.15582 399.75632 400.1558  400.18692 400.2181  400.2493  400.2805
 400.3117  400.34293 400.37415 400.40536 400.43665 400.46786]","[0.02641954 0.05282655 0.05278476 0.05273674 0.05270427 0.0526797
 0.05265985 0.05264319 0.05262824 0.0526145  0.05260266 0.0525919
 0.05258074 0.0525699  0.05255981 0.05255042 0.05254119 0.05253083
 0.05251895 0.02625628]",2016-01-03 00:03:23
9,20160103000332,-78.76125,122.26318,1451779413.964279,61.51109,23.983105,1,403.76825,3.1766055,398.84418,"[6.6575661e-02 3.5039822e+01 7.0079643e+01 1.0511946e+02 1.4015929e+02
 1.7519911e+02 2.1023892e+02 2.4527875e+02 2.8031857e+02 3.1535840e+02
 3.5039822e+02 3.8543805e+02 4.2047784e+02 4.5551770e+02 4.9055750e+02
 5.2559735e+02 5.6063715e+02 5.9567694e+02 6.3071680e+02 6.6575665e+02]","[390.6057  393.8792  395.29694 396.3848  397.30185 398.11017 398.83957
 399.51016 400.15457 400.19104 400.2185  400.2456  400.27234 400.29877
 400.3249  400.3507  400.37637 400.40176 400.427   400.45212]","[0.02642116 0.05282972 0.0527878  0.05273979 0.05270742 0.052683
 0.05266332 0.05264643 0.05263134 0.05261758 0.05260454 0.05259271
 0.05258086 0.05256851 0.05255623 0.05254344 0.05253179 0.0525221
 0.05251554 0.02625672]",2016-01-03 00:03:32
